title,price,image,details
Сотовый телефон Samsung Galaxy Note 20 Ultra 5G 12/256GB бронзовый,"
78790 сом
","https://www.kivano.kg/images/product/95758/1627808340_15191000.jpg
",/product/view/sotovyy-telefon-samsung-galaxy-note-20-ultra-5g-12-256gb-bronzovyy
Сотовый телефон Samsung Galaxy A51 (2020) 256GB (SM-A515F/DS) черный,"

 25820 сом
-1%

25480 сом
","https://www.kivano.kg/images/product/90127/1615980832_19333500.jpg
",/product/view/sotovyy-telefon-samsung-galaxy-a51-2020-256gb-sm-a515f-ds-chernyy
Сотовый телефон Samsung Galaxy A72 (2021) 8/128GB (SM-A725F/DS) лавандовый,"

 41090 сом
-2%

40160 сом
","https://www.kivano.kg/images/product/95759/1627810317_77335700.jpg
",/product/view/sotovyy-telefon-samsung-galaxy-a72-2021-8-128gb-sm-a725f-ds-lavandovyy
Сотовый телефон Apple iPhone 12 64GB красный,"
67240 сом
","https://www.kivano.kg/images/product/85008/1602712366_94500700.jpg
",/product/view/sotovyy-telefon-apple-iphone-12-64gb-krasnyy
Сотовый телефон Samsung Galaxy A51 (2020) 256GB (SM-A515F/DS) белый,"

 25820 сом
-1%

25480 сом
","https://www.kivano.kg/images/product/90128/1615980906_08591400.jpg
",/product/view/sotovyy-telefon-samsung-galaxy-a51-2020-256gb-sm-a515f-ds-belyy
Сотовый телефон Samsung Galaxy A72 (2021) 8/128GB (SM-A725F/DS) белый,"

 41090 сом
-2%

40160 сом
","https://www.kivano.kg/images/product/95760/1627810359_77501800.jpg
",/product/view/sotovyy-telefon-samsung-galaxy-a72-2021-8-128gb-sm-a725f-ds-belyy
Сотовый телефон Apple iPhone 12 128GB красный,"

 74540 сом
-2%

73270 сом
","https://www.kivano.kg/images/product/85009/1602712555_32497700.jpg
",/product/view/sotovyy-telefon-apple-iphone-12-128gb-krasnyy
Сотовый телефон Samsung Galaxy A51 (2020) 256GB (SM-A515F/DS) голубой,"

 25820 сом
-1%

25480 сом
","https://www.kivano.kg/images/product/90129/1615981009_19308200.jpg
",/product/view/sotovyy-telefon-samsung-galaxy-a51-2020-256gb-sm-a515f-ds-goluboy
Сотовый телефон Samsung Galaxy A72 (2021) 8/128GB (SM-A725F/DS) черный,"

 40410 сом
-1%

40160 сом
","https://www.kivano.kg/images/product/95761/1627810540_80351400.jpg
",/product/view/sotovyy-telefon-samsung-galaxy-a72-2021-8-128gb-sm-a725f-ds-chernyy
Сотовый телефон Apple iPhone 12 256GB красный,"

 80580 сом
-1%

79720 сом
","https://www.kivano.kg/images/product/85010/1602712609_64128700.jpg
",/product/view/sotovyy-telefon-apple-iphone-12-256gb-krasnyy
